,Faculty_member,Prof_by_Similarity,cosine_sim_scores
133,,Murali Venkatesh,0.373029415735746
134,,Michelle L Kaarst-Brown,0.3723290438838362
135,Rachel Clarke,Radhika Garg,0.3460583975792968
136,,Rachel Clarke,0.33563685665512
137,,Ping Zhang,0.3125064834381341
138,,Murali Venkatesh,0.29857593295516993
139,,Michelle L Kaarst-Brown,0.27549093632927285
140,Radhika Garg,Radhika Garg,0.4704957524978993
141,,Rachel Clarke,0.3074054215797467
142,,Ping Zhang,0.2972564880690149
143,,Murali Venkatesh,0.23412085439435878
144,,Michelle L Kaarst-Brown,0.23369747134015886
145,Steven B Sawyer,Radhika Garg,0.4682205385889759
146,,Rachel Clarke,0.4457212038839537
147,,Ping Zhang,0.4204003139914931
148,,Murali Venkatesh,0.41412724927362704
149,,Michelle L Kaarst-Brown,0.3914626340813094
